	PI			
P3-s4-d2-t0	Jared			
P3-s4-d2-t14	Jared			
P3-s4-d2-t21	Jared			
P3-s4-d2-t2	Jared			
P3-s4-d2-t42	Jared			
P3-s5-d1-b	Jared			
P3-s5-d1-t0	Jared			
P3-s5-d1-t14	Jared			
P3-s5-d1-t21	Jared			
P3-s5-d1-t2	Jared			
P3-s5-d1-t42	Jared			
P3-s5-d2-b	Jared			
P3-s5-d2-t0	Jared			
P3-s5-d2-t14	Jared			
P3-s5-d2-t21	Jared			
P3-s5-d2-t2	Jared			
P3-s5-d2-t42	Jared			
P3-s6-d1-b	Jared			
P3-s6-d1-t0	Jared			
P3-s6-d1-t14	Jared			
P3-s6-d1-t21	Jared			
P3-s6-d1-t2	Jared			
P3-s6-d1-t42	Jared			
P3-s6-d2-b	Jared			
P3-s6-d2-t0	Jared			
P3-s6-d2-t14	Jared			
P3-s6-d2-t21	Jared			
P3-s6-d2-t2	Jared			
P3-s6-d2-t42	Jared			
P3-s7-d1-b	Jared			
P3-s7-d1-t0	Jared			
P3-s7-d1-t14	Jared			
P3-s7-d1-t21	Jared			
P3-s7-d1-t2	Jared			
P3-s7-d1-t42	Jared			
P3-s7-d2-b	Jared			
P3-s7-d2-t0	Jared			
P3-s7-d2-t14	Jared			
P3-s7-d2-t21	Jared			
P3-s7-d2-t2	Jared			
P3-s7-d2-t42	Jared			
P3-s8-d1-b	Jared			
P3-s8-d1-t0	Jared			
P3-s8-d1-t14	Jared			
P3-s8-d1-t21	Jared			
P3-s8-d1-t2	Jared			
P3-s8-d1-t42	Jared			
P3-s8-d2-b	Jared			
P3-s8-d2-t0	Jared			
P3-s8-d2-t14	Jared			
P3-s8-d2-t21	Jared			
P3-s8-d2-t2	Jared			
P3-s8-d2-t42	Jared			
P3-s9-d1-b	Jared			
P3-s9-d1-t0	Jared			
P3-s9-d1-t14	Jared			
P3-s9-d1-t21	Jared			
P3-s9-d1-t2	Jared			
P3-s9-d1-t42	Jared			
P3-s9-d2-b	Jared			
P3-s9-d2-t0	Jared			
P3-s9-d2-t14	Jared			
P3-s9-d2-t21	Jared			
P3-s9-d2-t2	Jared			
P3-s9-d2-t42	Jared			
P4-1	Jared			
P4-2	Jared			
P4-3	Jared			
P4-4	Jared			
P4-5	Jared			
P4-6	Jared			
P4-s1-d1-b	Jared			
P4-s1-d1-t0	Jared			
P4-s1-d1-t14	Jared			
P4-s1-d1-t21	Jared			
P4-s1-d1-t2	Jared			
